careerField,isEngineering,isInformatics,newCareerField,count
Arquitectura Cloud,No,Si,No ingenieria relacionada directamente a informatica,1
Arquitectura Y Urbanismo,No,No,No ingenieria no relacionada directamente a informatica,1
Arte Y Diseno Grafico Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Asistente De Trafico,No,No,No ingenieria no relacionada directamente a informatica,1
Bachelor Of Science In Civil Engineering,Si,No,Ingenieria no relacionada directamente a informatica,1
Bachiller En Administracion Y Marketing,No,No,No ingenieria no relacionada directamente a informatica,1
Bachillerato,No,No,No ingenieria no relacionada directamente a informatica,1
Banca Seguros Y Servicios Financieros,No,No,No ingenieria no relacionada directamente a informatica,1
Basico,No,No,No ingenieria no relacionada directamente a informatica,1
Bienestar Social,No,No,No ingenieria no relacionada directamente a informatica,1
Big Data,No,Si,No ingenieria relacionada directamente a informatica,1
Big Data Y Data Science,No,Si,No ingenieria relacionada directamente a informatica,1
Bim Management,No,No,No ingenieria no relacionada directamente a informatica,1
Biologia Marina,No,No,No ingenieria no relacionada directamente a informatica,1
Biotecnologia,No,Si,No ingenieria relacionada directamente a informatica,1
Bpm (Business Process Management) Hp De Mexico,No,No,No ingenieria no relacionada directamente a informatica,1
Business Administration And Management,No,No,No ingenieria no relacionada directamente a informatica,1
"Business Administration, Management",No,No,No ingenieria no relacionada directamente a informatica,1
Business Analytics & Innovation,No,Si,No ingenieria relacionada directamente a informatica,1
Business And Systems Engineering,Si,Si,Ingenieria relacionada directamente a informatica,1
Business Expert - Administracion Y Direccion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Business Law With A Concentration In Corporate And Capital Market,No,No,No ingenieria no relacionada directamente a informatica,1
Business/Technology,No,Si,No ingenieria relacionada directamente a informatica,1
Call Center,No,No,No ingenieria no relacionada directamente a informatica,1
Capacitacion Comercio Exterior,No,No,No ingenieria no relacionada directamente a informatica,1
Cibersecurity,No,Si,No ingenieria relacionada directamente a informatica,1
Ciencia De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Ciencias Con Mencion En Tecnologias De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Ciencias Contables Y Finanzas Corporativas,No,No,No ingenieria no relacionada directamente a informatica,1
Ciencias Empresariales Con Especializacion En Gestion De Proyectos.,No,No,No ingenieria no relacionada directamente a informatica,1
Cinematografia Y Produccion De Cine Y Video,No,No,No ingenieria no relacionada directamente a informatica,1
Cloud Computing,No,Si,No ingenieria relacionada directamente a informatica,1
Coaching Ontologico,No,No,No ingenieria no relacionada directamente a informatica,1
Comercio,No,No,No ingenieria no relacionada directamente a informatica,1
Compras Internacionales/Importacion,No,No,No ingenieria no relacionada directamente a informatica,1
"Computer Programming/Programmer, General",No,Si,No ingenieria relacionada directamente a informatica,1
Computer Systems Networking And Telecommunications,No,Si,No ingenieria relacionada directamente a informatica,1
Comunicacion Efectiva,No,No,No ingenieria no relacionada directamente a informatica,1
Comunicacion En La Empresa / Comunicadora Social,No,No,No ingenieria no relacionada directamente a informatica,1
Comunicacion En Multimedios,No,No,No ingenieria no relacionada directamente a informatica,1
Comunicacion Of Development,No,No,No ingenieria no relacionada directamente a informatica,1
Concentracion En Marketing,No,No,No ingenieria no relacionada directamente a informatica,1
Contabilidad,No,No,No ingenieria no relacionada directamente a informatica,1
Contabilidad Y Gestion Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Control De Calidad,No,No,No ingenieria no relacionada directamente a informatica,1
"Css3, C# - Asp.Net Mvc 5, Sistemas De Informacion De Gestion, General",No,Si,No ingenieria relacionada directamente a informatica,1
Cultura Organizacional Y Comunicacion Interna,No,No,No ingenieria no relacionada directamente a informatica,1
Customer Service Management,No,No,No ingenieria no relacionada directamente a informatica,1
Data,No,Si,No ingenieria relacionada directamente a informatica,1
Derecho,No,No,No ingenieria no relacionada directamente a informatica,1
Desarollo De Software,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollador Fullstack Web,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollador Software,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollo De Aplicaciones Web Y Moviles,No,Si,No ingenieria relacionada directamente a informatica,1
"Desarrollo De Paginas Web, Contenido Digital/Multimedia Y Recursos Informaticos",No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollo De Software Y Gestion De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollo Web,No,Si,No ingenieria relacionada directamente a informatica,1
Devops,No,Si,No ingenieria relacionada directamente a informatica,1
Direccion De Recursos Humanos,No,No,No ingenieria no relacionada directamente a informatica,1
Direccion En Tecnologia De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Direccion Y Administracion De La Construccion,No,No,No ingenieria no relacionada directamente a informatica,1
Direccion Y Gestion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Direccion Y Gestion De Tecnologias De La Informacion (Ti),No,Si,No ingenieria relacionada directamente a informatica,1
Disenador Grafico Publicitario,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Imagen Y Sonido,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Producto,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Productos Digitales,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Vestuario / Textil / Modas,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno Ux/Ui,No,Si,No ingenieria relacionada directamente a informatica,1
Diseno Y Comunicacion Visual,No,No,No ingenieria no relacionada directamente a informatica,1
"Diseno Y Comunicacion Visual, General",No,No,No ingenieria no relacionada directamente a informatica,1
Docencia Superior,No,No,No ingenieria no relacionada directamente a informatica,1
Educacion Universitaria/Gestion En El Ambito De La Educacion Universitaria,No,No,No ingenieria no relacionada directamente a informatica,1
Egresado,No,No,No ingenieria no relacionada directamente a informatica,1
Electronic Engineering And Telecommunications,Si,No,Ingenieria no relacionada directamente a informatica,1
Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
En Gestion Y Direccion De Tics,No,Si,No ingenieria relacionada directamente a informatica,1
En Proceso,No,No,No ingenieria no relacionada directamente a informatica,1
Enfermeria,No,No,No ingenieria no relacionada directamente a informatica,1
Engenharia Estatistica E Informatica,Si,Si,Ingenieria relacionada directamente a informatica,1
Engineering Telecommunications And Telematics,Si,No,Ingenieria no relacionada directamente a informatica,1
Ensenanza De Ingles Como Lengua Extranjera,No,No,No ingenieria no relacionada directamente a informatica,1
Especialista En Telecomunicaciones,No,No,No ingenieria no relacionada directamente a informatica,1
"Especializacion En Business Intelligence, Analytics Y Big Data",No,Si,No ingenieria relacionada directamente a informatica,1
Especializacion En Operaciones,No,No,No ingenieria no relacionada directamente a informatica,1
Estrategia E Innovacion Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Estudio En Direccion Estrategica En Gestion De Riesgos Y Seguros En Las Organizaciones,No,No,No ingenieria no relacionada directamente a informatica,1
Estudios De Full Stack Developer,No,Si,No ingenieria relacionada directamente a informatica,1
Estudios Sobre Comunicacion Y Medios,No,No,No ingenieria no relacionada directamente a informatica,1
Experto En Expediente Tecnico Y Topografia,No,No,No ingenieria no relacionada directamente a informatica,1
Facultad De Ciencias,No,No,No ingenieria no relacionada directamente a informatica,1
"Finance, General",No,No,No ingenieria no relacionada directamente a informatica,1
Formacion Continua Y Educacion Para Adultos,No,No,No ingenieria no relacionada directamente a informatica,1
Formacion En Idiomas Extranjeros,No,No,No ingenieria no relacionada directamente a informatica,1
Front End,No,Si,No ingenieria relacionada directamente a informatica,1
Frontend Developer,No,Si,No ingenieria relacionada directamente a informatica,1
Gastronomia / Cocina,No,No,No ingenieria no relacionada directamente a informatica,1
Gerencia De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,1
"Gerencia Empresarial, Administracion Y Gestion De Empresas",No,No,No ingenieria no relacionada directamente a informatica,1
Gerencia Estrategica De Ventas,No,No,No ingenieria no relacionada directamente a informatica,1
Gerencia Social,No,No,No ingenieria no relacionada directamente a informatica,1
Gerencia Y Administracion,No,No,No ingenieria no relacionada directamente a informatica,1
Gerencia Y Administracion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion Comercial Y Negocios Digitales,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion De Operaciones,No,No,No ingenieria no relacionada directamente a informatica,1
"Gestion De Piezas, Almacen E Inventario",No,No,No ingenieria no relacionada directamente a informatica,1
Gestion De Proyectos De Tecnologia De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Gestion De Proyectos Pmbok,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion Del Talento Huma,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion En Finanzas,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion Publica,No,No,No ingenieria no relacionada directamente a informatica,1
"Gestion Y Direccion De Empresas ,",No,No,No ingenieria no relacionada directamente a informatica,1
Gestion Y Direccion De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion Y Mejora Continua,No,No,No ingenieria no relacionada directamente a informatica,1
Gestion Y Supervision De Operaciones,No,No,No ingenieria no relacionada directamente a informatica,1
Gobierno De Ti,No,Si,No ingenieria relacionada directamente a informatica,1
Grado En Ingenieria,Si,No,Ingenieria no relacionada directamente a informatica,1
Hotel & Management,No,No,No ingenieria no relacionada directamente a informatica,1
Ig -1,No,No,No ingenieria no relacionada directamente a informatica,1
Ilustracion Digital,No,No,No ingenieria no relacionada directamente a informatica,1
Impuestos,No,No,No ingenieria no relacionada directamente a informatica,1
Industrial And Product Design,No,No,No ingenieria no relacionada directamente a informatica,1
Informacion Financiera Y Su Analisis,No,No,No ingenieria no relacionada directamente a informatica,1
Informatica De Gestion Social,No,Si,No ingenieria relacionada directamente a informatica,1
Informatica Y Sistemas,No,Si,No ingenieria relacionada directamente a informatica,1
Informatics Engineering,Si,Si,Ingenieria relacionada directamente a informatica,1
Information Security Awareness,No,Si,No ingenieria relacionada directamente a informatica,1
Information Systems Engineering,Si,Si,Ingenieria relacionada directamente a informatica,1
Information Tecnologies,No,Si,No ingenieria relacionada directamente a informatica,1
Ing De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Ing. Aerospacial,Si,No,Ingenieria no relacionada directamente a informatica,1
Ing. Agronomo,Si,No,Ingenieria no relacionada directamente a informatica,1
Ing. De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Ing. Petroleo,Si,No,Ingenieria no relacionada directamente a informatica,1
Ing. Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingeniera De Computo Y Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingeniera De Minas,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingeniera Quimica,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingeniera Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria Biomedica,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria Biomedica/Medica,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria De Gestion Empresarial,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria De Redes,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria De Redes Y Comunicaciones-Epe,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria De Seguridad Y Auditoria Informatica,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria De Sistemas Empresariales,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria De Sistemas Y Gestion Empresarial,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria De Ss,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria Del Petroleo Y Gas,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria En Computacion E Informatica,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria En Informatica Y Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingenieria Industrial Y Comercial,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria Mecanica,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria Metalurgica,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria Quimica,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingenieria Software,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingeniero,Si,No,Ingenieria no relacionada directamente a informatica,1
"Ingeniero De Sistemas, Ingenieria De Sistemas",Si,Si,Ingenieria relacionada directamente a informatica,1
Ingeniero De Software,Si,Si,Ingenieria relacionada directamente a informatica,1
Ingeniero Electronico,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingeniero En Construccion,Si,No,Ingenieria no relacionada directamente a informatica,1
Ingieneria De Software,Si,Si,Ingenieria relacionada directamente a informatica,1
Innovacion,No,Si,No ingenieria relacionada directamente a informatica,1
Innovacion Y Tecnologia,No,Si,No ingenieria relacionada directamente a informatica,1
Innovation,No,Si,No ingenieria relacionada directamente a informatica,1
Instituto De Idiomas Peruano - Britanico,No,No,No ingenieria no relacionada directamente a informatica,1
Instituto Superior Gnrl. Oscar Arteta T,No,No,No ingenieria no relacionada directamente a informatica,1
Inteligencia Artificial,No,Si,No ingenieria relacionada directamente a informatica,1
International Business,No,No,No ingenieria no relacionada directamente a informatica,1
Ipm,No,No,No ingenieria no relacionada directamente a informatica,1
It Engineering,Si,Si,Ingenieria relacionada directamente a informatica,1
Kierkegaard,No,No,No ingenieria no relacionada directamente a informatica,1
Law,No,No,No ingenieria no relacionada directamente a informatica,1
Leading In Artificial Intelligence: Exploring Technology And Policy Program,No,Si,No ingenieria relacionada directamente a informatica,1
Lean Supply Chain,No,No,No ingenieria no relacionada directamente a informatica,1
Legislacion Laboral Y Planillas,No,No,No ingenieria no relacionada directamente a informatica,1
Leyes,No,No,No ingenieria no relacionada directamente a informatica,1
Licenciada,No,No,No ingenieria no relacionada directamente a informatica,1
Licenciada En Educacion,No,No,No ingenieria no relacionada directamente a informatica,1
Linux System Administration,No,Si,No ingenieria relacionada directamente a informatica,1
Maestria Ciencias Gastronomicas,No,No,No ingenieria no relacionada directamente a informatica,1
Maestria En Administracion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Maestria En Direccion De Sistemas Y Tecnologias De Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Maestria En Direccion Y Gestion De Las Tecnologias De La Informacion Y Comunicaciones,No,Si,No ingenieria relacionada directamente a informatica,1
Maestria En Gerencia De Sistemas E Informatica,No,Si,No ingenieria relacionada directamente a informatica,1
Maestria En Ingenieria De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,1
Manejo Ambiental,No,No,No ingenieria no relacionada directamente a informatica,1
Marketing Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Marketing Es Una Herramienta De Gestion Y Planificacion Empresarial.,No,No,No ingenieria no relacionada directamente a informatica,1
"Marketing, Ventas Y Responsabilidad Social",No,No,No ingenieria no relacionada directamente a informatica,1
Master Ejecutivo En Direccion De Sistemas Y Tecnologias De Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Mba Management & Computer Science,No,Si,No ingenieria relacionada directamente a informatica,1
Mecanica Y Reparacion,No,No,No ingenieria no relacionada directamente a informatica,1
"Mechatronics, Robotics, And Automation Engineering",Si,No,Ingenieria no relacionada directamente a informatica,1
Mejora Continua De Procesos,No,No,No ingenieria no relacionada directamente a informatica,1
Mencion En Ingenieria De Software,Si,Si,Ingenieria relacionada directamente a informatica,1
Networks And Telecommunications,No,Si,No ingenieria relacionada directamente a informatica,1
No,No,No,No ingenieria no relacionada directamente a informatica,1
Odontologia,No,No,No ingenieria no relacionada directamente a informatica,1
"Ordenacion Del Territorio, Urbanismo Y Medio Ambiente",No,No,No ingenieria no relacionada directamente a informatica,1
Planificacion Y Gestion De Procesos Empresariales,No,No,No ingenieria no relacionada directamente a informatica,1
Planificacion Y Servicios Financieros,No,No,No ingenieria no relacionada directamente a informatica,1
"Post Graduate,",No,No,No ingenieria no relacionada directamente a informatica,1
Postgrado Maestria,No,No,No ingenieria no relacionada directamente a informatica,1
Procesamiento De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Procesos De Negocios,No,No,No ingenieria no relacionada directamente a informatica,1
Productos Digitales,No,No,No ingenieria no relacionada directamente a informatica,1
Professional Carreer - Systems Engineering,Si,Si,Ingenieria relacionada directamente a informatica,1
Professional Program,No,No,No ingenieria no relacionada directamente a informatica,1
Programa De Especializacion,No,No,No ingenieria no relacionada directamente a informatica,1
Programa De Especializacion De Contrataciones Con El Estado,No,No,No ingenieria no relacionada directamente a informatica,1
Programa Internacional En Gerencia De Mantenimiento,No,No,No ingenieria no relacionada directamente a informatica,1
"Programacion Informatica, Aplicaciones Especificas",No,Si,No ingenieria relacionada directamente a informatica,1
"Programacion Informatica, General",No,Si,No ingenieria relacionada directamente a informatica,1
Programacion Y Base De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Programador,No,Si,No ingenieria relacionada directamente a informatica,1
Project Management Institute,No,No,No ingenieria no relacionada directamente a informatica,1
Proyectos Y Operaciones,No,No,No ingenieria no relacionada directamente a informatica,1
Psicologia Organizacional Y Recursos Humanos,No,No,No ingenieria no relacionada directamente a informatica,1
Publicidad Y Comunicacion Aplicada,No,No,No ingenieria no relacionada directamente a informatica,1
Recursos Humanos,No,No,No ingenieria no relacionada directamente a informatica,1
Recursos Humanos Y Sostenibilidad,No,No,No ingenieria no relacionada directamente a informatica,1
Redes Y Administracion De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
"Robotics, And Automation Engineering, Mechatronics, Robotics, And Automation Engineering",Si,Si,Ingenieria relacionada directamente a informatica,1
Sap,No,Si,No ingenieria relacionada directamente a informatica,1
Secretariado,No,No,No ingenieria no relacionada directamente a informatica,1
Seguridad Y Hacking Etico,No,Si,No ingenieria relacionada directamente a informatica,1
Sistema De Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Sistemas Computacionales,No,Si,No ingenieria relacionada directamente a informatica,1
Sistemas De Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Sistemas Integrados De Gestion; Proyectos; Procesos,No,Si,No ingenieria relacionada directamente a informatica,1
Sistemas Y Tecnologia,No,Si,No ingenieria relacionada directamente a informatica,1
Software,No,Si,No ingenieria relacionada directamente a informatica,1
Software Development,No,Si,No ingenieria relacionada directamente a informatica,1
Software Engineering.,Si,Si,Ingenieria relacionada directamente a informatica,1
Software Testing,No,Si,No ingenieria relacionada directamente a informatica,1
Sql Server 2014,No,Si,No ingenieria relacionada directamente a informatica,1
Sql Server Nivel Basico - Avanzado,No,Si,No ingenieria relacionada directamente a informatica,1
Statistics,No,Si,No ingenieria relacionada directamente a informatica,1
Strategic Business Management 2010,No,No,No ingenieria no relacionada directamente a informatica,1
Supply Chain,No,No,No ingenieria no relacionada directamente a informatica,1
"System, Networking, And Lan/Wan Management/Manager",No,Si,No ingenieria relacionada directamente a informatica,1
Systems Engineer,Si,Si,Ingenieria relacionada directamente a informatica,1
Tecnico Profesional,No,No,No ingenieria no relacionada directamente a informatica,1
Tecnico/Programador En Microcomputacion,No,Si,No ingenieria relacionada directamente a informatica,1
Tecnologia,No,Si,No ingenieria relacionada directamente a informatica,1
"Tecnologia De La Informacion, Informatica",No,Si,No ingenieria relacionada directamente a informatica,1
"Tecnologia/Tecnico De Ingenieria Electrica, Electronica Y De Comunicaciones",Si,Si,Ingenieria relacionada directamente a informatica,1
Tecnologias De Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
"Ti, Estrategia, Operaciones, Finanzas Y Sostenibilidad",No,Si,No ingenieria relacionada directamente a informatica,1
Transporte,No,No,No ingenieria no relacionada directamente a informatica,1
Universidad Nacional De Piura,No,No,No ingenieria no relacionada directamente a informatica,1
Ux/Ui Avanzado,No,Si,No ingenieria relacionada directamente a informatica,1
Ventas Generales,No,No,No ingenieria no relacionada directamente a informatica,1
Videojuegos Y Programacion,No,Si,No ingenieria relacionada directamente a informatica,1
Vmware,No,Si,No ingenieria relacionada directamente a informatica,1
Volte,No,Si,No ingenieria relacionada directamente a informatica,1
