studyCenter,equivalence,count,equals
Univ.Tecnologica Del Peru,Universidad Tecnologica Del Peru,1,FALSE
Univeridad Autonoma Del Peru,Universidad Autonoma Del Peru,11,FALSE
Univeridad De Lima,Universidad De Lima,5,FALSE
Univeridad Privada Del Norte,Universidad Privada Del Norte,19,FALSE
Universidad Agraria La Molina,Universidad Agraria La Molina,3,TRUE
Universidad Alas Peruanas,Universidad Alas Peruanas,59,TRUE
Universidad Alejandro De Humboldt,Universidad Alejandro De Humboldt,13,TRUE
Universidad Andina Del Cusco,Universidad Andina Del Cusco,3,TRUE
Universidad Anhembi Morumbi,Universidad Anhembi Morumbi,1,TRUE
Universidad Antonio Ruiz De Montoya,Universidad Antonio Ruiz De Montoya,2,TRUE
Universidad Austral,Universidad Austral,1,TRUE
Universidad Autonoma De Ica,Universidad Autonoma De Ica,1,TRUE
Universidad Autonoma Del Peru,Universidad Autonoma Del Peru,29,TRUE
Universidad Bicentenaria De Aragua,Universidad Bicentenaria De Aragua,3,TRUE
Universidad Bolivariana De Venezuela,Universidad Bolivariana De Venezuela,1,TRUE
Universidad Camilo Jose Cela,Universidad Camilo Jose Cela,1,TRUE
Universidad Cardenal Herrera (Ceu),Universidad Cardenal Herrera (Ceu),1,TRUE
Universidad Carlos Iii De Madrid,Universidad Carlos Iii De Madrid,2,TRUE
Universidad Catolica Andres Bello,Universidad Catolica Andres Bello,1,TRUE
Universidad Catolica De Chile,Universidad Catolica De Chile,4,TRUE
Universidad Catolica De Santa Maria - Arequipa,Universidad Catolica De Santa Maria - Arequipa,2,TRUE
Universidad Catolica De Trujillo Benedicto Xvi,Universidad Catolica De Trujillo Benedicto Xvi,1,TRUE
Universidad Catolica Del Peru,Universidad Catolica Del Peru,2,TRUE
Universidad Catolica Los Angeles De Chimbote,Universidad Catolica Los Angeles De Chimbote,4,TRUE
Universidad Catolica Portuguesa,Universidad Catolica Portuguesa,1,TRUE
Universidad Catolica San Antonio De Murcia,Universidad Catolica San Antonio De Murcia,4,TRUE
Universidad Catolica San Pablo,Universidad Catolica San Pablo,13,TRUE
Universidad Catolica Santa Maria,Universidad Catolica Santa Maria,3,TRUE
Universidad Catolica Santo Toribio De Mogrovejo,Universidad Catolica Santo Toribio De Mogrovejo,9,TRUE
Universidad Catolica Sedes Sapientiae,Universidad Catolica Sedes Sapientiae,6,TRUE
Universidad Central De Venezuela,Universidad Central De Venezuela,5,TRUE
Universidad Cesar Vallejo,Universidad Cesar Vallejo,115,TRUE
Universidad Cesar Vallejo - Chimbote,Universidad Cesar Vallejo,4,FALSE
Universidad Cesar Vallejo - Lima,Universidad Cesar Vallejo,4,FALSE
Universidad Cesar Vallejo - Lima Norte,Universidad Cesar Vallejo,4,FALSE
Universidad Cesar Vallejo - Piura,Universidad Cesar Vallejo,3,FALSE
Universidad Cesar Vallejo - Trujilllo,Universidad Cesar Vallejo,17,FALSE
Universidad Cesar Vallejo Lima - Norte,Universidad Cesar Vallejo,1,FALSE
Universidad Cesar Vallejo Lima Este 7Ciclo,Universidad Cesar Vallejo,2,FALSE
Universidad Cesar Vallejo Lima Norte,Universidad Cesar Vallejo,3,FALSE
Universidad Cientifica Del Sur,Universidad Cientifica Del Sur,57,TRUE
Universidad Cientifica Del Sur (Ucsur) - Lima.,Universidad Cientifica Del Sur,1,FALSE
Universidad Complutense De Madrid,Universidad Complutense De Madrid,2,TRUE
Universidad Continental,Universidad Continental,5,TRUE
Universidad Continental De Ciencias E Ingenieria,Universidad Continental De Ciencias E Ingenieria,19,TRUE
Universidad Continetal De Ciencia E Informaticas,Universidad Continental De Ciencias E Ingenieria,1,FALSE
Universidad De Alcala,Universidad De Alcala,2,TRUE
Universidad De Almeria,Universidad De Almeria,1,TRUE
Universidad De Barcelona,Universidad De Barcelona,1,TRUE
Universidad De Barcelona / Online,Universidad De Barcelona,9,FALSE
Universidad De Buenos Aires,Universidad De Buenos Aires,1,TRUE
Universidad De California - Berkeley,Universidad De California - Berkeley,1,TRUE
Universidad De Catalunya,Universidad De Catalunya,1,TRUE
Universidad De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,3,FALSE
Universidad De Ciencias Aplicadas Upc,Universidad Peruana De Ciencias Aplicadas,3,FALSE
Universidad De Ciencias Y Humanidades,Universidad De Ciencias Y Humanidades,10,TRUE
Universidad De Costa Rica,Universidad De Costa Rica,3,TRUE
Universidad De Guadalajara,Universidad De Guadalajara,1,TRUE
Universidad De Huanuco,Universidad De Huanuco,2,TRUE
Universidad De Ingenieria Y Tecnologia - Utec,Universidad De Ingenieria Y Tecnologia - Utec,7,TRUE
Universidad De La Rioja,Universidad De La Rioja,6,TRUE
Universidad De Lambayeque,Universidad De Lambayeque,2,TRUE
Universidad De Las Americas,Universidad De Las Americas,3,TRUE
Universidad De Leon,Universidad De Leon,1,TRUE
Universidad De Lima,Universidad De Lima,116,TRUE
Universidad De Los Andes,Universidad De Los Andes,2,TRUE
Universidad De Margarita,Universidad De Margarita,2,TRUE
Universidad De Medellin,Universidad De Medellin,1,TRUE
Universidad De Monterrey,Universidad De Monterrey,1,TRUE
Universidad De Oriente,Universidad De Oriente,6,TRUE
Universidad De Palermo,Universidad De Palermo,1,TRUE
Universidad De Piura,Universidad De Piura,6,TRUE
Universidad De Piura - Campus Lima,Universidad De Piura,1,FALSE
Universidad De Piura (Lima),Universidad De Piura,1,FALSE
Universidad De Piura(Udep),Universidad De Piura,1,FALSE
Universidad De Quebec,Universidad De Quebec,2,TRUE
Universidad De Salamanca,Universidad De Salamanca,1,TRUE
Universidad De San Martin De Porres,Universidad De San Martin De Porres,100,TRUE
Universidad De San Pedro,Universidad De San Pedro,1,TRUE
Universidad De Santander,Universidad De Santander,1,TRUE
Universidad De Tarapaca,Universidad De Tarapaca,1,TRUE
Universidad De Virginia,Universidad De Virginia,2,TRUE
Universidad Del Azuay,Universidad Del Azuay,1,TRUE
Universidad Del Desarrollo,Universidad Del Desarrollo,1,TRUE
Universidad Del Pacifico,Universidad Del Pacifico,79,TRUE
Universidad Del Zulia,Universidad Del Zulia,1,TRUE
Universidad Eafit,Universidad Eafit,1,TRUE
Universidad Esan,Universidad Esan,172,TRUE
Universidad Europea De Madrid,Universidad Europea De Madrid,12,TRUE
Universidad Europea Del Atlantico,Universidad Europea Del Atlantico,4,TRUE
Universidad Experimental De Las Fuerzas Armadas,Universidad Experimental De Las Fuerzas Armadas,1,TRUE
Universidad Femenina Del Sagrado Corazon,Universidad Femenina Del Sagrado Corazon,6,TRUE
Universidad Femenina Del Sagrado Corazon - Unife,Universidad Femenina Del Sagrado Corazon,1,FALSE
Universidad Fermin Toro,Universidad Fermin Toro,1,TRUE
Universidad Inca Garcilaso De La Vega,Universidad Inca Garcilaso De La Vega,90,TRUE
Universidad Internacional De La Rioja,Universidad Internacional De La Rioja,1,TRUE
Universidad Internacional De La Rioja - Unir,Universidad Internacional De La Rioja,1,FALSE
Universidad Internacional De Valencia,Universidad Internacional De Valencia,5,TRUE
Universidad Jose Antonio Paez,Universidad Jose Antonio Paez,4,TRUE
Universidad Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,4,FALSE
Universidad Jose Faustino Sanchez Carrion - Huacho,Universidad Nacional Jose Faustino Sanchez Carrion,6,FALSE
Universidad La Salle De Barcelona,Universidad La Salle De Barcelona,3,TRUE
Universidad Las Peruana Americas,Universidad Las Peruana Americas,2,TRUE
Universidad Los Angeles De Chimbote,Universidad Los Angeles De Chimbote,3,TRUE
Universidad Marcelino Champagnat,Universidad Marcelino Champagnat,2,TRUE
Universidad Mayor De San Marcos,Universidad Mayor De San Marcos,9,TRUE
Universidad Metropolitana,Universidad Metropolitana,4,TRUE
Universidad N. Wiener,Universidad Norbert Wiener,4,FALSE
Universidad Nac. Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional &Quot;Jose Faustino Sanchez Carrion&Quot;,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Abierta,Universidad Nacional Abierta,2,TRUE
Universidad Nacional Agraria De La Selva,Universidad Nacional Agraria De La Selva,1,TRUE
Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina,24,TRUE
Universidad Nacional De Cajamarca,Universidad Nacional De Cajamarca,6,TRUE
Universidad Nacional De Callao,Universidad Nacional De Callao,7,TRUE
Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,10,TRUE
Universidad Nacional De Ingenieria,Universidad Nacional De Ingenieria,132,TRUE
Universidad Nacional De Ingenieria - Ceps,Universidad Nacional De Ingenieria,2,FALSE
Universidad Nacional De La Amazonia Peruana,Universidad Nacional De La Amazonia Peruana,1,TRUE
Universidad Nacional De Moquegua,Universidad Nacional De Moquegua,2,TRUE
Universidad Nacional De Piura,Universidad Nacional De Piura,12,TRUE
Universidad Nacional De San Antonio Abad Del Cusco,Universidad Nacional De San Antonio Abad Del Cusco,2,TRUE
Universidad Nacional De San Aug,Universidad Nacional De San Aug,1,TRUE
Universidad Nacional De San Cristobal De Huamanga,Universidad Nacional De San Cristobal De Huamanga,3,TRUE
Universidad Nacional De San Martin,Universidad Nacional De San Martin,4,TRUE
Universidad Nacional De Trujillo,Universidad Nacional De Trujillo,22,TRUE
Universidad Nacional De Trujillo - Unt,Universidad Nacional De Trujillo,1,FALSE
Universidad Nacional De Trujilo,Universidad Nacional De Trujillo,3,FALSE
Universidad Nacional Del Altiplano - Puno,Universidad Nacional Del Altiplano - Puno,6,TRUE
Universidad Nacional Del Callao,Universidad Nacional Del Callao,58,TRUE
Universidad Nacional Del Centro Del Peru,Universidad Nacional Del Centro Del Peru,11,TRUE
Universidad Nacional Del Santa,Universidad Nacional Del Santa,8,TRUE
Universidad Nacional Exp Politecnica De La Fuerza Armada Nacional,Universidad Nacional Exp Politecnica De La Fuerza Armada Nacional,1,TRUE
Universidad Nacional Exp Romulo Gallegos,Universidad Nacional Exp Romulo Gallegos,2,TRUE
Universidad Nacional Experimental Politecnica Antonio Jose De Sucre,Universidad Nacional Experimental Politecnica Antonio Jose De Sucre,1,TRUE
Universidad Nacional Experimental Politecnica De La Fuerza Armada Nacional,Universidad Nacional Experimental Politecnica De La Fuerza Armada Nacional,3,TRUE
Universidad Nacional Experimental Romulo Gallegos,Universidad Nacional Experimental Romulo Gallegos,1,TRUE
Universidad Nacional Experimental Simon Bolivar,Universidad Nacional Experimental Simon Bolivar,2,TRUE
Universidad Nacional Expl Simon Rodriguez,Universidad Nacional Expl Simon Rodriguez,1,TRUE
Universidad Nacional Federico Villarreal,Universidad Nacional Federico Villarreal,109,TRUE
Universidad Nacional Hermilio Valdizan Huanuco,Universidad Nacional Hermilio Valdizan Huanuco,1,TRUE
Universidad Nacional Jorge Basadre Grohmann,Universidad Nacional Jorge Basadre Grohmann,1,TRUE
Universidad Nacional Jose F Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Jose Faustino,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,6,TRUE
Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor De San Marcos,176,TRUE
Universidad Nacional Mayor De San Marcos (Unmsm),Universidad Nacional Mayor De San Marcos,1,FALSE
Universidad Nacional Micaela Bastidas De Apurimac,Universidad Nacional Micaela Bastidas De Apurimac,4,TRUE
Universidad Nacional Pedro Ruiz Gallo,Universidad Nacional Pedro Ruiz Gallo,15,TRUE
Universidad Nacional Pedro Ruiz Gallo - Lambayeque,Universidad Nacional Pedro Ruiz Gallo,10,FALSE
Universidad Nacional San Agustin De Arequipa,Universidad Nacional San Agustin De Arequipa,12,TRUE
Universidad Nacional San Luis Gonzaga - Ica,Universidad Nacional San Luis Gonzaga - Ica,29,TRUE
Universidad Nacional San Luis Gonzaga De Ica,Universidad Nacional San Luis Gonzaga De Ica,6,TRUE
Universidad Nacional Tecnologica De Lima Sur,Universidad Nacional Tecnologica De Lima Sur,4,TRUE
Universidad Nacional Tecnologica Del Cono Sur De Lima (Untecs),Universidad Nacional Tecnologica De Lima Sur,1,FALSE
Universidad Norbert Wiener,Universidad Norbert Wiener,13,TRUE
Universidad Nororiental Gran Mariscal De Ayacucho,Universidad Nororiental Gran Mariscal De Ayacucho,1,TRUE
Universidad Particular Ricardo Palma,Universidad Particular Ricardo Palma,4,TRUE
Universidad Pedro Ruiz Gallo - Lambayeque,Universidad Pedro Ruiz Gallo - Lambayeque,1,TRUE
Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia,6,TRUE
Universidad Peruana De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,347,TRUE
Universidad Peruana De Ciencias Aplicadas (Upc),Universidad Peruana De Ciencias Aplicadas,4,FALSE
Universidad Peruana De Ciencias E Informatica,Universidad Peruana De Ciencias E Informatica,7,TRUE
Universidad Peruana De Ciencias Informatica,Universidad Peruana De Ciencias E Informatica,1,FALSE
Universidad Peruana De Las Americas,Universidad Peruana De Las Americas,26,TRUE
Universidad Peruana Del Norte,Universidad Peruana Del Norte,1,TRUE
Universidad Peruana Del Oriente,Universidad Peruana Del Oriente,5,TRUE
Universidad Peruana Los Andes - Upla,Universidad Peruana Los Andes - Upla,12,TRUE
Universidad Peruana Simon Bolivar,Universidad Peruana Simon Bolivar,1,TRUE
Universidad Peruana Union,Universidad Peruana Union,2,TRUE
Universidad Peruana Union - Upeu,Universidad Peruana Union - Upeu,3,TRUE
Universidad Politecnica De Cataluna,Universidad Politecnica De Cataluna,6,TRUE
Universidad Politecnica De Catalunya - Espana,Universidad Politecnica De Catalunya - Espana,1,TRUE
Universidad Politecnica De Madrid,Universidad Politecnica De Madrid,1,TRUE
Universidad Politecnica De Valencia,Universidad Politecnica De Valencia,4,TRUE
Universidad Pontificia Bolivariana,Universidad Pontificia Bolivariana,2,TRUE
Universidad Pontificia Comillas (Icai-Icade),Universidad Pontificia Comillas (Icai-Icade),1,TRUE
Universidad Privada Ada A. Byron,Universidad Privada Ada A. Byron,5,TRUE
Universidad Privada Antenor Orrego,Universidad Privada Antenor Orrego,4,TRUE
Universidad Privada Antenor Orrego - Trujillo,Universidad Privada Antenor Orrego,19,FALSE
Universidad Privada Antenor Orrego - Upao,Universidad Privada Antenor Orrego,1,FALSE
Universidad Privada Cesar Vallejo,Universidad Cesar Vallejo,1,FALSE
Universidad Privada Cesar Vallejo - Trujillo,Universidad Cesar Vallejo,1,FALSE
Universidad Privada De Cienascias Aplicadas,Universidad Peruana De Ciencias Aplicadas,15,FALSE
Universidad Privada De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,2,FALSE
Universidad Privada De Margarita,Universidad Privada De Margarita,1,TRUE
Universidad Privada De Piura,Universidad De Piura,28,FALSE
Universidad Privada De Pucallpa,Universidad Privada De Pucallpa,1,TRUE
Universidad Privada De Tacna,Universidad Privada De Tacna,6,TRUE
Universidad Privada Del Norte,Universidad Privada Del Norte,147,TRUE
Universidad Privada Del Norte - Upn,Universidad Privada Del Norte,1,FALSE
Universidad Privada Dr. Rafael Belloso Chacin,Universidad Privada Dr. Rafael Belloso Chacin,1,TRUE
Universidad Privada Franz Tamayo,Universidad Privada Franz Tamayo,1,TRUE
Universidad Privada Jose Antonio Paez,Universidad Privada Jose Antonio Paez,1,TRUE
Universidad Privada Juan Mejia Baca,Universidad Privada Juan Mejia Baca,1,TRUE
Universidad Privada Los Angeles - Chimbote,Universidad Privada Los Angeles - Chimbote,8,TRUE
Universidad Privada Nolbert Wiener,Universidad Norbert Wiener,1,FALSE
Universidad Privada Peruano Alemana,Universidad Privada Peruano Alemana,1,TRUE
Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista,33,TRUE
Universidad Privada San Pedro,Universidad Privada San Pedro,9,TRUE
Universidad Privada Sergio Bernales,Universidad Privada Sergio Bernales,1,TRUE
Universidad Privada Telesup,Universidad Privada Telesup,13,TRUE
Universidad Rafael Belloso Chacin,Universidad Rafael Belloso Chacin,1,TRUE
"Universidad Ramon Llul La Salle - Espana, Barcelona",Universidad La Salle De Barcelona,1,FALSE
"Universidad Ramon Llull - La Salle, Barcelona",Universidad La Salle De Barcelona,1,FALSE
Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,3,TRUE
Universidad Ricardo Palma,Universidad Ricardo Palma,124,TRUE
Universidad Ricardo Palma - Urp,Universidad Ricardo Palma,1,FALSE
Universidad San Ignacio De Loyola,Universidad San Ignacio Del Loyola,95,FALSE
Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio Del Loyola,3,FALSE
Universidad San Ignacio Del Loyola,Universidad San Ignacio Del Loyola,62,TRUE
Universidad San Juan Bautista,Universidad San Juan Bautista,1,TRUE
Universidad San Marcos,Universidad Nacional Mayor De San Marcos,1,FALSE
Universidad San Martin De Porres,Universidad De San Martin De Porres,5,FALSE
Universidad San Pedro,Universidad San Pedro,3,TRUE
Universidad Santa Maria,Universidad Santa Maria,3,TRUE
Universidad Santo Domingo De Guzman,Universidad Santo Domingo De Guzman,1,TRUE
Universidad Senor De Sipan,Universidad Senor De Sipan,11,TRUE
Universidad Tecnologica De Los Andes,Universidad Tecnologica De Los Andes,2,TRUE
Universidad Tecnologica De Puerto Cabello,Universidad Tecnologica De Puerto Cabello,1,TRUE
Universidad Tecnologica Del Peru,Universidad Tecnologica Del Peru,215,TRUE
Universidad Tecnologica Del Peru Utp,Universidad Tecnologica Del Peru,3,FALSE
Universidad Tecnologica Latinoamericana,Universidad Tecnologica Latinoamericana,1,TRUE
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,1,TRUE
Universidad Tecnologico Del Centro,Universidad Tecnologico Del Centro,1,TRUE
Universidad Tegnologica Del Peru,Universidad Tecnologica Del Peru,1,FALSE
Universidade Catolica De Brasilia,Universidade Catolica De Brasilia,1,TRUE
Universidade Federal Do Rio Grande Do Sul - Ufrgs,Universidade Federal Do Rio Grande Do Sul - Ufrgs,2,TRUE
Universita Degli Studi Di Cassino,Universita Degli Studi Di Cassino,1,TRUE
Universitat Autonoma De Barcelona,Universitat Autonoma De Barcelona,2,TRUE
Universitat De Barcelona,Universitat De Barcelona,3,TRUE
Universitat Obierta De Cataluniya,Universitat Obierta De Cataluniya,1,TRUE
Universitat Politecnica De Valencia,Universitat Politecnica De Valencia,1,TRUE
Universitat Ramon Llull,Universitat Ramon Llull,4,TRUE
Universite Catholique De Lyon,Universite Catholique De Lyon,1,TRUE
Universite Du Quebec A Montreal,Universite Du Quebec A Montreal,4,TRUE
University,University,1,TRUE
University Of California Berkeley,University Of California Berkeley,1,TRUE
University Of California San Diego,University Of California San Diego,1,TRUE
University Of Cambridge,University Of Cambridge,1,TRUE
University Of Pennsylvania,University Of Pennsylvania,1,TRUE
University Of Texas Austin,University Of Texas Austin,1,TRUE
University Of Victoria,University Of Victoria,2,TRUE
University Of Virginia,University Of Virginia,2,TRUE
University Of Virginia Darden School Of Business,University Of Virginia Darden School Of Business,1,TRUE
Univesidad Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Univesidad Privada Cesar Vallejo,Universidad Cesar Vallejo,2,FALSE
Univesidad San Ignacio De Loyola,Universidad San Ignacio Del Loyola,1,FALSE
Unjfsc,Universidad Nacional Jose Faustino Sanchez Carrion,10,FALSE
Unmsm,Universidad Nacional Mayor De San Marcos,8,FALSE
Unp,Universidad Nacional De Piura,1,FALSE
Untecs,Universidad Nacional Tecnologica De Lima Sur,2,FALSE
Upao,Universidad Privada Antenor Orrego,2,FALSE
Upc,Universidad Peruana De Ciencias Aplicadas,137,FALSE
Upc - Epe,Universidad Peruana De Ciencias Aplicadas,1,FALSE
Upc - Universidad Peruana De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,5,FALSE
Upci,Universidad Peruana De Ciencias E Informatica,2,FALSE
Upn,Universidad Privada Del Norte,2,FALSE
Upta Federico Brito Figueroa,Upta Federico Brito Figueroa,4,TRUE
Urjc,Universidad Rey Juan Carlos,4,FALSE
Usat,Universidad Catolica Santo Toribio De Mogrovejo,2,FALSE
Usil,Universidad San Ignacio Del Loyola,42,FALSE
Usil - Cpel,Universidad San Ignacio Del Loyola,1,FALSE
Usil - Modalidad Cpel,Universidad San Ignacio Del Loyola,1,FALSE
Usil - Universidad San Ignacio De Loyola,Universidad San Ignacio Del Loyola,1,FALSE
"Usmp- Facultad De Ciencias De La Comunicacion,...",Universidad De San Martin De Porres,1,FALSE
Utah State University,Utah State University,1,TRUE
Utec,Universidad De Ingenieria Y Tecnologia - Utec,1,FALSE
Utel,Utel,4,TRUE
Utp,Universidad Tecnologica Del Peru,84,FALSE
Valfrat It,Valfrat It,1,TRUE
Vanzys,Vanzys,1,TRUE
Villa El Salvador,Villa El Salvador,1,TRUE
Vmware,Vmware Learning,2,FALSE
Vmware Learning,Vmware Learning,1,TRUE
We Educacion Ejecutiva,We Educacion Ejecutiva,3,TRUE
We Ejecutiva,We Educacion Ejecutiva,1,FALSE
Web &Amp; Business Empire S.A.C.,Web &Amp; Business Empire S.A.C.,1,TRUE
Wernher Von Braun,Wernher Von Braun,1,TRUE
Wiener,Universidad Norbert Wiener,6,FALSE
Xerox Learning,Xerox Learning,2,TRUE
Zegel Ipae,Instituto Peruano De Accion Empresarial - Ipae,8,FALSE
