institucionUltimoEstudio,equivalencia,cantidad,igual
Universidad De Lambayeque,Universidad De Lambayeque,3,TRUE
Universidad De Las Americas,Universidad De Las Americas,4,TRUE
Universidad De Leon,Universidad De Leon,1,TRUE
Universidad De Lima,Universidad De Lima,227,TRUE
Universidad De Los Andes,Universidad De Los Andes,2,TRUE
Universidad De Margarita,Universidad De Margarita,2,TRUE
Universidad De Medellin,Universidad De Medellin,2,TRUE
Universidad De Monterrey,Universidad De Monterrey,2,TRUE
Universidad De Oriente,Universidad De Oriente,7,TRUE
Universidad De Palermo,Universidad De Palermo,3,TRUE
Universidad De Piura,Universidad De Piura,19,TRUE
Universidad De Piura - Campus Lima,Universidad De Piura,1,FALSE
Universidad De Piura (Lima),Universidad De Piura,1,FALSE
Universidad De Piura (Udep),Universidad De Piura,1,FALSE
Universidad De Piura Campus Lima,Universidad De Piura,1,FALSE
Universidad De Piura(Udep),Universidad De Piura,4,FALSE
Universidad De Piura. Campus - Lima,Universidad De Piura,1,FALSE
Universidad De Quebec,Universidad De Quebec,2,TRUE
Universidad De Salamanca,Universidad De Salamanca,1,TRUE
Universidad De San Martin De Porres,Universidad De San Martin De Porres,198,TRUE
Universidad De San Pedro,Universidad De San Pedro,1,TRUE
Universidad De Santander,Universidad De Santander,1,TRUE
Universidad De Tarapaca,Universidad De Tarapaca,1,TRUE
Universidad De Valladolid,Universidad De Valladolid,1,TRUE
Universidad De Virginia,Universidad De Virginia,2,TRUE
Universidad Del Azuay,Universidad Del Azuay,1,TRUE
Universidad Del Desarrollo,Universidad Del Desarrollo,1,TRUE
Universidad Del Pacifico,Universidad Del Pacifico,114,TRUE
Universidad Del Valle,Universidad Del Valle,1,TRUE
Universidad Del Zulia,Universidad Del Zulia,1,TRUE
Universidad Eafit,Universidad Eafit,1,TRUE
Universidad Esan,Universidad Esan,245,TRUE
Universidad Europea De Madrid,Universidad Europea De Madrid,14,TRUE
Universidad Europea Del Atlantico,Universidad Europea Del Atlantico,4,TRUE
Universidad Experimental De Las Fuerzas Armadas,Universidad Experimental De Las Fuerzas Armadas,1,TRUE
Universidad Femenina Del Sagrado Corazon,Universidad Femenina Del Sagrado Corazon,10,TRUE
Universidad Femenina Del Sagrado Corazon - Unife,Universidad Femenina Del Sagrado Corazon,1,FALSE
Universidad Fermin Toro,Universidad Fermin Toro,1,TRUE
Universidad Inca Garcilaso De La Vega,Universidad Inca Garcilaso De La Vega,173,TRUE
Universidad Inca Garcilazo De La Vega,Universidad Inca Garcilaso De La Vega,1,FALSE
Universidad Industrial De Santander,Universidad Industrial De Santander,2,TRUE
Universidad Internacional De La Rioja,Universidad Internacional De La Rioja,3,TRUE
Universidad Internacional De La Rioja - Unir,Universidad Internacional De La Rioja,1,FALSE
Universidad Internacional De Valencia,Universidad Internacional De Valencia,6,TRUE
Universidad Jaime Bausate Y Meza,Universidad Jaime Bausate Y Meza,1,TRUE
Universidad Jose Antonio Paez,Universidad Jose Antonio Paez,5,TRUE
Universidad Jose Antonio Paez (Ujap),Universidad Jose Antonio Paez,1,FALSE
Universidad Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,5,FALSE
Universidad Jose Faustino Sanchez Carrion - Huacho,Universidad Nacional Jose Faustino Sanchez Carrion,28,FALSE
Universidad Jose Maria Vargas,Universidad Jose Maria Vargas,1,TRUE
Universidad La Catolica Sede Sapientiae,Universidad Catolica Sedes Sapientiae,1,FALSE
Universidad La Salle,Universidad La Salle De Barcelona,2,FALSE
Universidad La Salle De Barcelona,Universidad La Salle De Barcelona,3,TRUE
Universidad Las Americas,Universidad Las Americas,1,TRUE
Universidad Las Peruana Americas,Universidad Las Americas,2,FALSE
Universidad Latinoamericana De Ciencia Y Tecnologia,Universidad Latinoamericana De Ciencia Y Tecnologia,2,TRUE
Universidad Le Cordon Bleu,Universidad Le Cordon Bleu,1,TRUE
Universidad Los Angeles De Chimbote,Universidad Los Angeles De Chimbote,3,TRUE
Universidad Marcelino Champagnat,Universidad Marcelino Champagnat,8,TRUE
Universidad Mayor De San Marcos,Universidad Mayor De San Marcos,24,TRUE
Universidad Metropolitana,Universidad Metropolitana,4,TRUE
Universidad N. Wiener,Universidad Norbert Wiener,11,FALSE
Universidad Nac. Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Naciona Del Callao,Universidad Nacional De Callao,1,FALSE
Universidad Nacional &Quot;Jose Faustino Sanchez Carrion&Quot;,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Abierta,Universidad Nacional Abierta,2,TRUE
Universidad Nacional Agraria De La Selva,Universidad Nacional Agraria De La Selva,4,TRUE
Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina,34,TRUE
Universidad Nacional Daniel Alcides Carrion,Universidad Nacional Daniel Alcides Carrion,3,TRUE
Universidad Nacional De Cajamarca,Universidad Nacional De Cajamarca,12,TRUE
Universidad Nacional De Callao,Universidad Nacional De Callao,9,TRUE
Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,12,TRUE
Universidad Nacional De Ingenieria,Universidad Nacional De Ingenieria,206,TRUE
Universidad Nacional De Ingenieria - Ceps,Universidad Nacional De Ingenieria,2,FALSE
Universidad Nacional De Ingenieria - Infouni,Universidad Nacional De Ingenieria,1,FALSE
Universidad Nacional De La Amazonia Peruana,Universidad Nacional De La Amazonia Peruana,2,TRUE
Universidad Nacional De Moquegua,Universidad Nacional De Moquegua,3,TRUE
Universidad Nacional De Piura,Universidad Nacional De Piura,26,TRUE
Universidad Nacional De San Agustin,Universidad Nacional San Agustin De Arequipa,1,FALSE
Universidad Nacional De San Agustin De Arequipa,Universidad Nacional San Agustin De Arequipa,1,FALSE
Universidad Nacional De San Antonio Abad Del Cusco,Universidad Nacional De San Antonio Abad Del Cusco,2,TRUE
Universidad Nacional De San Aug,Universidad Nacional De San Aug,1,TRUE
Universidad Nacional De San Cristobal De Huamanga,Universidad Nacional De San Cristobal De Huamanga,4,TRUE
Universidad Nacional De San Martin,Universidad Nacional De San Martin,10,TRUE
Universidad Nacional De Trujillo,Universidad Nacional De Trujillo,45,TRUE
Universidad Nacional De Trujillo - Unt,Universidad Nacional De Trujillo,1,FALSE
Universidad Nacional De Trujilo,Universidad Nacional De Trujillo,3,FALSE
Universidad Nacional De Tumbes,Universidad Nacional De Tumbes,4,TRUE
Universidad Nacional De Ucayali,Universidad Nacional De Ucayali,1,TRUE
Universidad Nacional Del Altiplano - Puno,Universidad Nacional Del Altiplano - Puno,8,TRUE
Universidad Nacional Del Callao,Universidad Nacional Del Callao,103,TRUE
Universidad Nacional Del Centro Del Peru,Universidad Nacional Del Centro Del Peru,21,TRUE
Universidad Nacional Del Santa,Universidad Nacional Del Santa,15,TRUE
Universidad Nacional Exp De Guayana,Universidad Nacional Exp De Guayana,2,TRUE
Universidad Nacional Exp De Los Llanos Centrales Romulo Gallegos,Universidad Nacional Exp De Los Llanos Centrales Romulo Gallegos,1,TRUE
Universidad Nacional Exp Politecnica De La Fuerza Armada Nacional,Universidad Nacional Experimental Politecnica De La Fuerza Armada Nacional,3,FALSE
Universidad Nacional Exp Romulo Gallegos,Universidad Nacional Exp Romulo Gallegos,3,TRUE
Universidad Nacional Experimental De Los Llanos Occidentales Ezequiel Zamora,Universidad Nacional Experimental De Los Llanos Occidentales Ezequiel Zamora,1,TRUE
Universidad Nacional Experimental Del Yaracuy,Universidad Nacional Experimental Del Yaracuy,1,TRUE
Universidad Nacional Experimental Politecnica Antonio Jose De Sucre,Universidad Nacional Experimental Politecnica Antonio Jose De Sucre,1,TRUE
Universidad Nacional Experimental Politecnica De La Fuerza Armada Nacional,Universidad Nacional Experimental Politecnica De La Fuerza Armada Nacional,3,TRUE
Universidad Nacional Experimental Rafael Maria Baralt,Universidad Nacional Experimental Rafael Maria Baralt,3,TRUE
Universidad Nacional Experimental Romulo Gallegos,Universidad Nacional Experimental Romulo Gallegos,2,TRUE
Universidad Nacional Experimental Simon Bolivar,Universidad Nacional Experimental Simon Bolivar,2,TRUE
Universidad Nacional Expl Simon Rodriguez,Universidad Nacional Expl Simon Rodriguez,1,TRUE
Universidad Nacional Federico Villareal,Universidad Nacional Federico Villarreal,2,FALSE
Universidad Nacional Federico Villarreal,Universidad Nacional Federico Villarreal,189,TRUE
Universidad Nacional Hermilio Valdizan Huanuco,Universidad Nacional Hermilio Valdizan Huanuco,2,TRUE
Universidad Nacional Jorge Basadre Grohmann,Universidad Nacional Jorge Basadre Grohmann,3,TRUE
Universidad Nacional Jose F Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Jose Faustino,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,9,TRUE
Universidad Nacional Jose Maria Arguedas,Universidad Nacional Jose Maria Arguedas,2,TRUE
Universidad Nacional Mayor De San,Universidad Nacional Mayor De San Marcos,1,FALSE
Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor De San Marcos,308,TRUE
Universidad Nacional Mayor De San Marcos - Unmsm,Universidad Nacional Mayor De San Marcos,4,FALSE
Universidad Nacional Mayor De San Marcos (Unmsm),Universidad Nacional Mayor De San Marcos,1,FALSE
Universidad Nacional Micaela Bastidas De Apurimac,Universidad Nacional Micaela Bastidas De Apurimac,7,TRUE
Universidad Nacional Pedro Ruiz Gallo,Universidad Nacional Pedro Ruiz Gallo,39,TRUE
Universidad Nacional Pedro Ruiz Gallo - Lambayeque,Universidad Nacional Pedro Ruiz Gallo,17,FALSE
Universidad Nacional San Agustin De Arequipa,Universidad Nacional San Agustin De Arequipa,27,TRUE
Universidad Nacional San Antonio Abad De Cusco,Universidad Nacional De San Antonio Abad Del Cusco,4,FALSE
Universidad Nacional San Luis Gonzaga - Ica,Universidad Nacional San Luis Gonzaga De Ica,45,FALSE
Universidad Nacional San Luis Gonzaga De Ica,Universidad Nacional San Luis Gonzaga De Ica,7,TRUE
Universidad Nacional Santiago Antunez De Mayolo,Universidad Nacional Santiago Antunez De Mayolo,3,TRUE
Universidad Nacional Tecnologica De Lima Sur,Universidad Nacional Tecnologica De Lima Sur,9,TRUE
Universidad Nacional Tecnologica De Lima Sur (U...,Universidad Nacional Tecnologica De Lima Sur,1,FALSE
Universidad Nacional Tecnologica Del Cono Sur De Lima (Untecs),Universidad Nacional Tecnologica De Lima Sur,1,FALSE
Universidad Norbert Wiener,Universidad Norbert Wiener,23,TRUE
Universidad Nororiental Gran Mariscal De Ayacucho,Universidad Nororiental Gran Mariscal De Ayacucho,1,TRUE
Universidad Nueva Esparta,Universidad Nueva Esparta,1,TRUE
Universidad Particular Cesar Vallejo,Universidad Cesar Vallejo,2,FALSE
Universidad Particular De Chiclayo,Universidad Particular De Chiclayo,1,TRUE
Universidad Particular Ricardo Palma,Universidad Ricardo Palma,4,FALSE
Universidad Pedro Ruiz Gallo - Lambayeque,Universidad Nacional Pedro Ruiz Gallo,1,FALSE
Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia,18,TRUE
Universidad Peruana De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,585,TRUE
Universidad Peruana De Ciencias Aplicadas - Upc,Universidad Peruana De Ciencias Aplicadas,2,FALSE
Universidad Peruana De Ciencias Aplicadas (Upc),Universidad Peruana De Ciencias Aplicadas,4,FALSE
Universidad Peruana De Ciencias Aplicadas Upc,Universidad Peruana De Ciencias Aplicadas,1,FALSE
Universidad Peruana De Ciencias E Informatica,Universidad Peruana De Ciencias E Informatica,12,TRUE
Universidad Peruana De Ciencias Informatica,Universidad Peruana De Ciencias E Informatica,1,FALSE
Universidad Peruana De Integracion Global,Universidad Peruana De Integracion Global,2,TRUE
Universidad Peruana De Investigacion Y Negocios,Universidad Peruana De Investigacion Y Negocios,6,TRUE
Universidad Peruana De Las Americas,Universidad Peruana De Las Americas,36,TRUE
Universidad Peruana Del Norte,Universidad Peruana Del Norte,3,TRUE
Universidad Peruana Del Oriente,Universidad Peruana Del Oriente,5,TRUE
Universidad Peruana Los Andes - Upla,Universidad Peruana Los Andes - Upla,20,TRUE
Universidad Peruana Simon Bolibar,Universidad Peruana Simon Bolivar,1,FALSE
Universidad Peruana Simon Bolivar,Universidad Peruana Simon Bolivar,1,TRUE
Universidad Peruana Union,Universidad Peruana Union,11,TRUE
Universidad Peruana Union - Upeu,Universidad Peruana Union - Upeu,4,TRUE
Universidad Politecnica De Cataluna,Universidad Politecnica De Cataluna,9,TRUE
Universidad Politecnica De Catalunya - Espana,Universidad Politecnica De Catalunya - Espana,1,TRUE
Universidad Politecnica De Madrid,Universidad Politecnica De Madrid,4,TRUE
Universidad Politecnica De Valencia,Universidad Politecnica De Valencia,4,TRUE
Universidad Pontificia Bolivariana,Universidad Pontificia Bolivariana,2,TRUE
Universidad Pontificia Comillas (Icai-Icade),Universidad Pontificia Comillas (Icai-Icade),1,TRUE
Universidad Privada Ada A. Byron,Universidad Privada Ada A. Byron,6,TRUE
Universidad Privada Alejandro De Humboldt,Universidad Privada Alejandro De Humboldt,1,TRUE
Universidad Privada Antenor Orrego,Universidad Privada Antenor Orrego,5,TRUE
Universidad Privada Antenor Orrego - Trujillo,Universidad Privada Antenor Orrego,36,FALSE
Universidad Privada Antenor Orrego - Upao,Universidad Privada Antenor Orrego,1,FALSE
Universidad Privada Antonio Guillermo Urrelo,Universidad Privada Antonio Guillermo Urrelo,1,TRUE
Universidad Privada Autonoma Del Peru,Universidad Autonoma Del Peru,1,FALSE
Universidad Privada Cesar Vallejo,Universidad Cesar Vallejo,2,FALSE
Universidad Privada Cesar Vallejo - Trujillo,Universidad Cesar Vallejo,4,FALSE
Universidad Privada De Cienascias Aplicadas,Universidad Peruana De Ciencias Aplicadas,15,FALSE
Universidad Privada De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,2,FALSE
Universidad Privada De Margarita,Universidad Privada De Margarita,1,TRUE
Universidad Privada De Piura,Universidad De Piura,35,FALSE
Universidad Privada De Pucallpa,Universidad Privada De Pucallpa,1,TRUE
Universidad Privada De Tacna,Universidad Privada De Tacna,8,TRUE
Universidad Privada Del Norte,Universidad Privada Del Norte,304,TRUE
Universidad Privada Del Norte - Upn,Universidad Privada Del Norte,2,FALSE
Universidad Privada Dr. Rafael Belloso Chacin,Universidad Privada Dr. Rafael Belloso Chacin,1,TRUE
Universidad Privada Franz Tamayo,Universidad Privada Franz Tamayo,1,TRUE
Universidad Privada Jose Antonio Paez,Universidad Privada Jose Antonio Paez,1,TRUE
Universidad Privada Juan Mejia Baca,Universidad Privada Juan Mejia Baca,1,TRUE
Universidad Privada Los Angeles - Chimbote,Universidad Privada Los Angeles - Chimbote,10,TRUE
Universidad Privada Nolbert Wiener,Universidad Norbert Wiener,1,FALSE
Universidad Privada Norbert Wiener,Universidad Norbert Wiener,2,FALSE
Universidad Privada Peruano Alemana,Universidad Privada Peruano Alemana,1,TRUE
Universidad Privada San Ignacio De Loyola,Universidad San Ignacio Del Loyola,1,FALSE
Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista,56,TRUE
Universidad Privada San Juan Bautista - Upsjb,Universidad Privada San Juan Bautista,1,FALSE
Universidad Privada San Pedro,Universidad Privada San Pedro,10,TRUE
Universidad Privada Sergio Bernales,Universidad Privada Sergio Bernales,1,TRUE
Universidad Privada Telesup,Universidad Privada Telesup,36,TRUE
Universidad Prosegur,Universidad Prosegur,1,TRUE
Universidad Rafael Belloso Chacin,Universidad Rafael Belloso Chacin,2,TRUE
"Universidad Ramon Llul La Salle - Espana, Barcelona",Universidad La Salle De Barcelona,1,FALSE
"Universidad Ramon Llull - La Salle, Barcelona",Universidad La Salle De Barcelona,1,FALSE
Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,8,TRUE
Universidad Rey Juan Carlos - Iebs,Universidad Rey Juan Carlos,1,FALSE
Universidad Ricardo Palma,Universidad Ricardo Palma,191,TRUE
Universidad Ricardo Palma - Urp,Universidad Ricardo Palma,1,FALSE
Universidad San Ignacio De Loyola,Universidad San Ignacio Del Loyola,141,FALSE
Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio Del Loyola,6,FALSE
Universidad San Ignacio Del Loyola,Universidad San Ignacio Del Loyola,110,TRUE
Universidad San Juan Bautista,Universidad San Juan Bautista,1,TRUE
Universidad San Luis Gonzaga De Ica,Universidad Nacional San Luis Gonzaga De Ica,1,FALSE
Universidad San Marcos,Universidad Nacional Mayor De San Marcos,1,FALSE
Universidad San Martin De Porres,Universidad De San Martin De Porres,17,FALSE
Universidad San Martin Porras,Universidad De San Martin De Porres,1,FALSE
Universidad San Pedro,Universidad San Pedro,4,TRUE
Universidad San Pedro De Chimbote,Universidad San Pedro,1,FALSE
Universidad Santa Maria,Universidad Santa Maria,4,TRUE
Universidad Santo Domingo De Guzman,Universidad Santo Domingo De Guzman,2,TRUE
Universidad Senor De Sipan,Universidad Senor De Sipan,24,TRUE
Universidad Simon Bolivar,Universidad Peruana Simon Bolivar,2,FALSE
Universidad Tecnologica De La Habana,Universidad Tecnologica De La Habana,1,TRUE
Universidad Tecnologica De Lima Sur,Universidad Nacional Tecnologica De Lima Sur,1,FALSE
Universidad Tecnologica De Los Andes,Universidad Tecnologica De Los Andes,4,TRUE
Universidad Tecnologica De Puerto Cabello,Universidad Tecnologica De Puerto Cabello,1,TRUE
Universidad Tecnologica Del Peru,Universidad Tecnologica Del Peru,363,TRUE
Universidad Tecnologica Del Peru - Utp,Universidad Tecnologica Del Peru,2,FALSE
Universidad Tecnologica Del Peru Utp,Universidad Tecnologica Del Peru,3,FALSE
Universidad Tecnologica Del Peru(Utp),Universidad Tecnologica Del Peru,2,FALSE
Universidad Tecnologica Latinoamericana,Universidad Tecnologica Latinoamericana,1,TRUE
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,3,TRUE
Universidad Tecnologico Del Centro,Universidad Tecnologico Del Centro,1,TRUE
Universidad Tegnologica Del Peru,Universidad Tecnologica Del Peru,1,FALSE
Universidad Telesup,Universidad Privada Telesup,2,FALSE
Universidad Wiener,Universidad Norbert Wiener,3,FALSE
Universidade Anhembi-Morumbi,Universidad Anhembi Morumbi,1,FALSE
Universidade Catolica De Brasilia,Universidade Catolica De Brasilia,1,TRUE
Universidade Federal Da Bahia - Ufba,Universidade Federal Da Bahia - Ufba,2,TRUE
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul - Ufrgs,2,FALSE
Universidade Federal Do Rio Grande Do Sul - Ufrgs,Universidade Federal Do Rio Grande Do Sul - Ufrgs,2,TRUE
Universita Degli Studi Di Cassino,Universita Degli Studi Di Cassino,1,TRUE
Universitat Augsburg,Universitat Augsburg,1,TRUE
Universitat Autonoma De Barcelona,Universitat Autonoma De Barcelona,2,TRUE
Universitat De Barcelona,Universitat De Barcelona,3,TRUE
Universitat Obierta De Cataluniya,Universitat Obierta De Cataluniya,1,TRUE
Universitat Politecnica De Valencia,Universitat Politecnica De Valencia,1,TRUE
Universitat Ramon Llull,Universitat Ramon Llull,4,TRUE
Universite Catholique De Lyon,Universite Catholique De Lyon,1,TRUE
Universite Du Quebec A Montreal,Universite Du Quebec A Montreal,4,TRUE
University,University,1,TRUE
University Of Arizona,University Of Arizona,1,TRUE
University Of California Berkeley,University Of California Berkeley,1,TRUE
University Of California San Diego,University Of California San Diego,1,TRUE
University Of Cambridge,University Of Cambridge,1,TRUE
University Of Miami (Fl),University Of Miami (Fl),1,TRUE
University Of Minnesota,University Of Minnesota,1,TRUE
University Of Pennsylvania,University Of Pennsylvania,1,TRUE
University Of Queensland,University Of Queensland,1,TRUE
University Of Reading,University Of Reading,1,TRUE
University Of Texas Austin,University Of Texas Austin,3,TRUE
University Of Victoria,University Of Victoria,2,TRUE
University Of Virginia,University Of Virginia,2,TRUE
University Of Virginia Darden School Of Business,University Of Virginia Darden School Of Business,1,TRUE
Univesidad Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Univesidad Privada Cesar Vallejo,Universidad Cesar Vallejo,2,FALSE
Univesidad San Ignacio De Loyola,Universidad San Ignacio Del Loyola,1,FALSE
Unjfsc,Universidad Nacional Jose Faustino Sanchez Carrion,18,FALSE
Unmsm,Universidad Nacional Mayor De San Marcos,12,FALSE
Unp,Universidad Nacional De Piura,2,FALSE
Unprg,Universidad Nacional Pedro Ruiz Gallo,1,FALSE
Unsa,Universidad Nacional San Agustin De Arequipa,1,FALSE
Untecs,Universidad Nacional Tecnologica De Lima Sur,10,FALSE
Untels,Universidad Nacional Tecnologica De Lima Sur,6,FALSE
Upal,Universidad Privada Peruano Alemana,1,FALSE
Upao,Universidad Privada Antenor Orrego,4,FALSE
Upc,Universidad Peruana De Ciencias Aplicadas,300,FALSE
Upc - Epe,Universidad Peruana De Ciencias Aplicadas,1,FALSE
Upc - Universidad Peruana De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,11,FALSE
Upci,Universidad Peruana De Ciencias E Informatica,4,FALSE
Upn,Universidad Privada Del Norte,5,FALSE
Upt Aragua,Upta Federico Brito Figueroa,1,FALSE
"Upta ""Federico Brito Figueroa"" (Upta)",Upta Federico Brito Figueroa,1,FALSE
Upta Federico Brito Figueroa,Upta Federico Brito Figueroa,4,TRUE
Urjc,Universidad Rey Juan Carlos,4,FALSE
Urp,Universidad Ricardo Palma,1,FALSE
Usat,Universidad Catolica Santo Toribio De Mogrovejo,2,FALSE
Usil,Universidad San Ignacio Del Loyola,69,FALSE
Usil - Cpel,Universidad San Ignacio Del Loyola,1,FALSE
Usil - Modalidad Cpel,Universidad San Ignacio Del Loyola,1,FALSE
Usil - Universidad San Ignacio De Loyola,Universidad San Ignacio Del Loyola,1,FALSE
Usmp,Universidad De San Martin De Porres,2,FALSE
"Usmp- Facultad De Ciencias De La Comunicacion,...",Universidad De San Martin De Porres,1,FALSE
Utah State University,Utah State University,1,TRUE
Utec,Universidad De Ingenieria Y Tecnologia - Utec,2,FALSE
Utel,Utel,7,TRUE
Utp,Universidad Tecnologica Del Peru,168,FALSE
Uvm - Universidad Del Valle De Mexico,Uvm - Universidad Del Valle De Mexico,1,TRUE
Valfrat It,Valfrat It,1,TRUE
Valores Formacion Y Psicoterapia Contextual,Valores Formacion Y Psicoterapia Contextual,1,TRUE
Vanzys,Vanzys,1,TRUE
Villa El Salvador,Villa El Salvador,1,TRUE
Vmware,Vmware Learning,2,FALSE
Vmware Learning,Vmware Learning,1,TRUE
Von Braun,Von Braun,1,TRUE
We Consulting,We Educacion Ejecutiva,1,FALSE
We Educacion Ejecutiva,We Educacion Ejecutiva,3,TRUE
We Educacionejecutiva,We Educacion Ejecutiva,1,FALSE
We Ejecutiva,We Educacion Ejecutiva,1,FALSE
Web &Amp; Business Empire S.A.C.,Web &Amp; Business Empire S.A.C.,1,TRUE
Wernher Von Braun,Wernher Von Braun,1,TRUE
Wiener,Universidad Norbert Wiener,6,FALSE
Xerox Learning,Xerox Learning,2,TRUE
Zeegel Ipae,Instituto Peruano De Accion Empresarial - Ipae,1,FALSE
Zegel Ipae,Instituto Peruano De Accion Empresarial - Ipae,13,FALSE
